PERSISTENT,TEMPORARY,acc,accuracy,average_response_time,avg_rt,background,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,closed,color1,color2,color3,color4,color_backend,correct,correct_in_a_row,correct_press_abcd,correct_response,count_block_loop,count_card_display,count_correct_feedback,count_experiment,count_goodbye,count_incorrect_feedback,count_init_matching_rule,count_instructions,count_logger,count_new_1_form_text_display,count_new_2_sketchpad,count_new_form_consent,count_new_form_text_display,count_new_inline_javascript,count_new_sketchpad,count_osweb,count_press_abcd,count_select_response_card,count_set_correct_response,count_trial_sequence,count_update_matching_rule,credentialless,crossOriginIsolated,date_startdate,date_startdateUTC,date_starttime,datetime,defaultStatus,defaultstatus,description,devicePixelRatio,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullScreen,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatosStudyResultId,jatosVersion,jatos_uuid,keyboard_backend,length,matching_rule,mouse_backend,mozInnerScreenX,mozInnerScreenY,name,number1,number2,number3,number4,offscreenBuffering,opensesame_codename,opensesame_version,origin,originAgentCluster,outerHeight,outerWidth,overlap1,overlap2,overlap3,overlap4,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_color,response_new_2_sketchpad,response_new_sketchpad,response_number,response_press_abcd,response_shape,response_time,response_time_new_2_sketchpad,response_time_new_sketchpad,response_time_press_abcd,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,scrollMaxX,scrollMaxY,scrollX,scrollY,sessionid,shape1,shape2,shape3,shape4,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,system_os,time_block_loop,time_card_display,time_correct_feedback,time_incorrect_feedback,time_init_matching_rule,time_logger,time_new_2_sketchpad,time_new_sketchpad,time_press_abcd,time_select_response_card,time_set_correct_response,time_update_matching_rule,title,total_correct,total_response_time,total_responses,width
1,0,100,100,2120,2120,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",osweb,osweb,0,red,green,blue,yellow,osweb,1,1,1,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15-06-24,15-06-24,13:47:25,Sat Jun 15 2024 13:47:25 GMT+0200 (Mitteleuropäische Sommerzeit),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,540541,3.9.1,a47ee561-4ea2-80d4-f47b-548d9201c9ec,osweb,0,shape,osweb,,,,3,4,1,2,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1064,1904,1,0,1,1,0,0,1,0,d,red,d,space,1,d,triangle,2120,15380,10041,2120,2,osweb,8,8,8,8,1040,1920,24,1080,24,0,0,1920,,,0,0,1718441445590,circle,cross,star,triangle,1024,2,48000,-16,experiment,,1,odd,Win32,55,69755,71881,,69731,72390,39621,55003,69755,69749,69749,72389,Wisconsin Card Sorting Test,1,2120,1,1024
1,0,100,100,2527,2527,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",osweb,osweb,0,blue,red,green,yellow,osweb,1,2,1,b,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,15-06-24,15-06-24,13:47:25,Sat Jun 15 2024 13:47:25 GMT+0200 (Mitteleuropäische Sommerzeit),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,540541,3.9.1,a47ee561-4ea2-80d4-f47b-548d9201c9ec,osweb,0,shape,osweb,,,,1,2,4,3,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1064,1904,1,1,0,1,0,0,1,0,b,blue,d,space,3,b,circle,2933,15380,10041,2933,2,osweb,8,8,8,8,1040,1920,24,1080,24,0,0,1920,,,0,0,1718441445590,triangle,circle,star,cross,1024,2,48000,-16,experiment,,1,odd,Win32,55,72406,75342,,69731,75852,39621,55003,72406,72401,72401,75852,Wisconsin Card Sorting Test,2,5053,2,1024
1,0,100,100,2271,2271,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",osweb,osweb,0,green,yellow,blue,red,osweb,1,3,1,b,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,0,0,15-06-24,15-06-24,13:47:25,Sat Jun 15 2024 13:47:25 GMT+0200 (Mitteleuropäische Sommerzeit),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,540541,3.9.1,a47ee561-4ea2-80d4-f47b-548d9201c9ec,osweb,0,shape,osweb,,,,1,2,4,3,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1064,1904,1,1,1,0,0,0,1,0,b,blue,d,space,1,b,star,1760,15380,10041,1760,2,osweb,8,8,8,8,1040,1920,24,1080,24,0,0,1920,,,0,0,1718441445590,triangle,star,circle,cross,1024,2,48000,-16,experiment,,1,odd,Win32,55,75882,77653,,69731,78164,39621,55003,75883,75874,75874,78163,Wisconsin Card Sorting Test,3,6813,3,1024
1,0,100,100,2364,2364,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",osweb,osweb,0,yellow,green,blue,red,osweb,1,4,1,b,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,15-06-24,15-06-24,13:47:25,Sat Jun 15 2024 13:47:25 GMT+0200 (Mitteleuropäische Sommerzeit),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,540541,3.9.1,a47ee561-4ea2-80d4-f47b-548d9201c9ec,osweb,0,shape,osweb,,,,3,1,4,2,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1064,1904,1,1,0,1,0,0,1,0,b,yellow,d,space,2,b,cross,2643,15380,10041,2643,2,osweb,8,8,8,8,1040,1920,24,1080,24,0,0,1920,,,0,0,1718441445590,triangle,cross,circle,star,1024,2,48000,-16,experiment,,1,odd,Win32,55,78176,80826,,69731,81336,39621,55003,78176,78172,78172,81335,Wisconsin Card Sorting Test,4,9456,4,1024
1,0,100,100,2448,2448,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",osweb,osweb,0,red,yellow,blue,green,osweb,1,0,1,b,0,4,4,0,0,4,0,0,4,0,0,0,0,0,0,0,4,4,4,4,4,0,0,15-06-24,15-06-24,13:47:25,Sat Jun 15 2024 13:47:25 GMT+0200 (Mitteleuropäische Sommerzeit),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,540541,3.9.1,a47ee561-4ea2-80d4-f47b-548d9201c9ec,osweb,0,color,osweb,,,,1,3,4,2,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1064,1904,1,1,1,0,0,0,1,0,b,blue,d,space,1,b,triangle,2784,15380,10041,2784,2,osweb,8,8,8,8,1040,1920,24,1080,24,0,0,1920,,,0,0,1718441445590,circle,triangle,star,cross,1024,2,48000,-16,experiment,,1,odd,Win32,55,81347,84138,,69731,84648,39621,55003,81347,81344,81344,84648,Wisconsin Card Sorting Test,5,12240,5,1024
1,0,83,83,2460,2460,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",osweb,osweb,0,yellow,green,red,blue,osweb,0,0,0,a,0,5,5,0,0,5,0,0,5,0,0,0,0,0,0,0,5,5,5,5,5,0,0,15-06-24,15-06-24,13:47:25,Sat Jun 15 2024 13:47:25 GMT+0200 (Mitteleuropäische Sommerzeit),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,540541,3.9.1,a47ee561-4ea2-80d4-f47b-548d9201c9ec,osweb,0,color,osweb,,,,2,1,4,3,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1064,1904,1,0,1,1,0,0,1,0,d,yellow,d,space,4,d,star,2521,15380,10041,2521,2,osweb,8,8,8,8,1040,1920,24,1080,24,0,0,1920,,,0,0,1718441445590,triangle,cross,circle,star,1024,2,48000,-16,experiment,,1,odd,Win32,55,84661,84138,87190,69731,87700,39621,55003,84661,84657,84657,87700,Wisconsin Card Sorting Test,5,14761,6,1024
1,0,71,71,2482,2482,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",osweb,osweb,0,red,green,yellow,blue,osweb,0,0,0,d,0,6,6,0,0,6,0,0,6,0,0,0,0,0,0,0,6,6,6,6,6,0,0,15-06-24,15-06-24,13:47:25,Sat Jun 15 2024 13:47:25 GMT+0200 (Mitteleuropäische Sommerzeit),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,540541,3.9.1,a47ee561-4ea2-80d4-f47b-548d9201c9ec,osweb,0,color,osweb,,,,3,1,2,4,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1064,1904,1,0,1,1,0,0,1,0,a,blue,d,space,2,a,star,2612,15380,10041,2612,2,osweb,8,8,8,8,1040,1920,24,1080,24,0,0,1920,,,0,0,1718441445590,star,cross,triangle,circle,1024,2,48000,-16,experiment,,1,odd,Win32,55,87711,84138,90333,69731,90843,39621,55003,87711,87708,87708,90842,Wisconsin Card Sorting Test,5,17373,7,1024
1,0,63,63,2447,2447,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",osweb,osweb,0,red,green,blue,yellow,osweb,0,0,0,c,0,7,7,0,0,7,0,0,7,0,0,0,0,0,0,0,7,7,7,7,7,0,0,15-06-24,15-06-24,13:47:25,Sat Jun 15 2024 13:47:25 GMT+0200 (Mitteleuropäische Sommerzeit),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,540541,3.9.1,a47ee561-4ea2-80d4-f47b-548d9201c9ec,osweb,0,color,osweb,,,,2,3,1,4,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1064,1904,1,1,1,0,0,0,1,0,b,blue,d,space,2,b,circle,2205,15380,10041,2205,2,osweb,8,8,8,8,1040,1920,24,1080,24,0,0,1920,,,0,0,1718441445590,cross,circle,star,triangle,1024,2,48000,-16,experiment,,1,odd,Win32,55,90862,84138,93075,69731,93584,39621,55003,90862,90858,90858,93584,Wisconsin Card Sorting Test,5,19578,8,1024
1,0,67,67,2363,2363,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",osweb,osweb,0,green,yellow,blue,red,osweb,1,1,1,a,0,8,8,0,0,8,0,0,8,0,0,0,0,0,0,0,8,8,8,8,8,0,0,15-06-24,15-06-24,13:47:25,Sat Jun 15 2024 13:47:25 GMT+0200 (Mitteleuropäische Sommerzeit),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,540541,3.9.1,a47ee561-4ea2-80d4-f47b-548d9201c9ec,osweb,0,color,osweb,,,,2,1,3,4,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1064,1904,1,1,1,0,0,0,1,0,a,green,d,space,3,a,circle,1686,15380,10041,1686,2,osweb,8,8,8,8,1040,1920,24,1080,24,0,0,1920,,,0,0,1718441445590,star,circle,cross,triangle,1024,2,48000,-16,experiment,,1,odd,Win32,55,93597,95285,93075,69731,95796,39621,55003,93597,93593,93593,95795,Wisconsin Card Sorting Test,6,21264,9,1024
1,0,60,60,2265,2265,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",osweb,osweb,0,red,blue,green,yellow,osweb,0,0,0,d,0,9,9,0,0,9,0,0,9,0,0,0,0,0,0,0,9,9,9,9,9,0,0,15-06-24,15-06-24,13:47:25,Sat Jun 15 2024 13:47:25 GMT+0200 (Mitteleuropäische Sommerzeit),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,540541,3.9.1,a47ee561-4ea2-80d4-f47b-548d9201c9ec,osweb,0,color,osweb,,,,4,2,3,1,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1064,1904,1,0,1,1,0,0,1,0,b,yellow,d,space,4,b,star,1387,15380,10041,1387,2,osweb,8,8,8,8,1040,1920,24,1080,24,0,0,1920,,,0,0,1718441445590,circle,cross,star,triangle,1024,2,48000,-16,experiment,,1,odd,Win32,55,95808,95285,97197,69731,97707,39621,55003,95808,95805,95805,97707,Wisconsin Card Sorting Test,6,22651,10,1024
