"jatosStudyResultId","MMM_S_Index","Age","Gender","total_correct"
517933,3,32,"female",45
517972,2.44444444444444,23,"male",42
518133,2.33333333333333,23,"female",50
525919,2,26,"female",45
525937,2.22222222222222,30,"male",36
525986,3.11111111111111,29,"female",45
527062,2.33333333333333,30,"female",39
527063,2.44444444444444,25,"female",38
527211,2.66666666666667,24,"female",3
527268,1.33333333333333,27,"male",6
527735,1.88888888888889,25,"male",49
527742,2.66666666666667,26,"female",50
527756,3,39,"female",47
527771,1.44444444444444,35,"female",42
527790,1.33333333333333,31,"male",50
528118,3.33333333333333,28,"male",50
529542,1.33333333333333,67,"female",29
530269,1.88888888888889,28,"female",44
530439,2.66666666666667,30,"male",36
530542,1.55555555555556,23,"female",45
532002,2.77777777777778,25,"male",42
534436,3,20,"female",45
534441,2.11111111111111,23,"female",41
534448,1.77777777777778,24,"male",42
534453,2.44444444444444,27,"female",50
534457,2.77777777777778,22,"female",45
534466,1.77777777777778,21,"diverse",47
534483,1.55555555555556,24,"male",46
534591,2.33333333333333,21,"male",47
534616,3.22222222222222,18,"female",12
535461,1.66666666666667,27,"male",44
535520,1.66666666666667,28,"male",13
536202,1.88888888888889,36,"female",31
536203,1.88888888888889,22,"female",48
537806,1.77777777777778,60,"male",47
539012,2.55555555555556,23,"female",45
539764,3.55555555555556,26,"male",21
540122,1.44444444444444,23,"male",49
540214,2.77777777777778,23,"male",43
540531,2.44444444444444,21,"male",47
540532,2.33333333333333,22,"female",46
540533,2,25,"female",50
540569,1.77777777777778,27,"female",44
